Date,Open,High,Low,Close,Volume
10-Aug-17,2.32,2.32,2.14,2.18,229444
9-Aug-17,2.40,2.40,2.30,2.30,114892
8-Aug-17,2.53,2.53,2.33,2.35,182803
7-Aug-17,2.65,2.65,2.48,2.51,93374
4-Aug-17,2.30,2.44,2.25,2.43,318367
3-Aug-17,2.50,2.50,2.30,2.33,303248
2-Aug-17,2.60,2.63,2.48,2.48,119475
1-Aug-17,2.60,2.66,2.49,2.63,169545
31-Jul-17,-,-,-,2.53,448316
28-Jul-17,2.45,2.46,2.40,2.42,52323
27-Jul-17,2.42,2.50,2.38,2.38,119617
26-Jul-17,2.45,2.45,2.35,2.40,58988
25-Jul-17,2.31,2.42,2.31,2.41,169126
24-Jul-17,2.45,2.45,2.28,2.35,180512
21-Jul-17,2.47,2.47,2.39,2.41,69320
20-Jul-17,2.51,2.51,2.46,2.47,93827
19-Jul-17,2.46,2.52,2.46,2.51,74955
18-Jul-17,2.53,2.53,2.42,2.47,84318
17-Jul-17,2.35,2.51,2.34,2.51,93253
14-Jul-17,2.34,2.35,2.29,2.33,48961
13-Jul-17,2.34,2.35,2.31,2.33,38918
12-Jul-17,2.40,2.40,2.32,2.33,114212
11-Jul-17,2.26,2.40,2.26,2.37,70069
10-Jul-17,2.21,2.29,2.19,2.28,65929
7-Jul-17,2.30,2.30,2.16,2.22,240843
6-Jul-17,2.35,2.41,2.28,2.30,105620
5-Jul-17,2.37,2.39,2.30,2.36,120144
3-Jul-17,2.21,2.53,2.21,2.32,121685
30-Jun-17,2.12,2.25,2.12,2.19,130314
29-Jun-17,2.05,2.06,2.02,2.03,94356
28-Jun-17,2.05,2.10,2.04,2.06,42047
27-Jun-17,2.03,2.09,2.03,2.03,87883
26-Jun-17,2.08,2.12,2.03,2.04,81481
23-Jun-17,2.04,2.06,2.00,2.06,91707
22-Jun-17,1.94,2.02,1.94,2.01,21600
21-Jun-17,1.98,2.01,1.92,1.95,176523
20-Jun-17,1.83,1.99,1.82,1.93,442445
19-Jun-17,2.02,2.03,1.86,1.88,199085
16-Jun-17,2.16,2.19,2.02,2.03,130065
15-Jun-17,2.25,2.25,2.17,2.17,47996
14-Jun-17,2.24,2.24,2.20,2.23,43419
13-Jun-17,2.24,2.24,2.20,2.24,93161
12-Jun-17,2.23,2.23,2.18,2.21,41013
9-Jun-17,2.20,2.23,2.17,2.18,69707
8-Jun-17,2.17,2.20,2.15,2.19,54649
7-Jun-17,2.17,2.25,2.09,2.16,85130
6-Jun-17,2.14,2.20,2.08,2.16,89876
5-Jun-17,2.19,2.20,2.13,2.16,35657
2-Jun-17,2.27,2.29,2.19,2.19,49310
1-Jun-17,2.27,2.33,2.27,2.28,76918
31-May-17,2.18,2.29,2.18,2.27,71840
30-May-17,2.30,2.30,2.16,2.18,125763
26-May-17,2.27,2.35,2.27,2.30,91845
25-May-17,2.28,2.34,2.24,2.25,148227
24-May-17,2.41,2.41,2.22,2.29,345457
