Date,Open,High,Low,Close,Volume
10-Aug-17,2.93,2.99,2.89,2.92,49667
9-Aug-17,2.92,2.94,2.84,2.89,60502
8-Aug-17,2.92,2.92,2.82,2.88,30190
7-Aug-17,2.91,2.91,2.86,2.88,30128
4-Aug-17,3.02,3.06,2.88,2.91,70212
3-Aug-17,3.11,3.12,3.06,3.06,51570
2-Aug-17,3.11,3.14,3.09,3.14,96481
1-Aug-17,3.12,3.16,3.07,3.11,52356
31-Jul-17,3.22,3.22,3.12,3.15,99155
28-Jul-17,3.24,3.24,3.18,3.22,46481
27-Jul-17,3.20,3.25,3.18,3.23,59997
26-Jul-17,3.09,3.23,3.09,3.20,83044
25-Jul-17,3.00,3.10,3.00,3.07,79945
24-Jul-17,2.93,3.00,2.93,3.00,51170
21-Jul-17,2.92,2.94,2.92,2.92,87125
20-Jul-17,2.87,2.93,2.87,2.93,54298
19-Jul-17,2.82,2.89,2.81,2.87,43766
18-Jul-17,2.83,2.88,2.81,2.83,37633
17-Jul-17,2.75,2.85,2.75,2.82,49445
14-Jul-17,2.75,2.81,2.72,2.73,47687
13-Jul-17,2.74,2.78,2.71,2.73,42605
12-Jul-17,2.78,2.84,2.75,2.77,114879
11-Jul-17,2.76,2.78,2.76,2.76,13070
10-Jul-17,2.74,2.80,2.70,2.76,49173
7-Jul-17,2.80,2.80,2.70,2.72,112037
6-Jul-17,2.78,2.88,2.75,2.77,97115
5-Jul-17,2.70,2.79,2.70,2.74,64901
3-Jul-17,2.76,2.77,2.71,2.71,21532
30-Jun-17,2.78,2.80,2.72,2.79,37337
29-Jun-17,2.80,2.80,2.72,2.78,43736
28-Jun-17,2.85,2.86,2.74,2.79,37817
27-Jun-17,2.92,2.94,2.80,2.82,72610
26-Jun-17,2.84,2.92,2.80,2.92,59331
23-Jun-17,2.79,2.89,2.79,2.86,65146
22-Jun-17,2.80,2.90,2.79,2.80,70634
21-Jun-17,2.77,2.80,2.75,2.79,48681
20-Jun-17,2.75,2.78,2.65,2.77,45470
19-Jun-17,2.79,2.80,2.73,2.75,101536
16-Jun-17,2.77,2.83,2.77,2.80,37626
15-Jun-17,2.83,2.84,2.78,2.80,49231
14-Jun-17,2.91,2.93,2.83,2.84,76748
13-Jun-17,2.90,2.93,2.85,2.89,62140
12-Jun-17,2.85,2.90,2.80,2.88,72866
9-Jun-17,2.85,2.90,2.79,2.85,76843
8-Jun-17,3.03,3.06,2.85,2.91,194079
7-Jun-17,2.91,3.10,2.89,3.04,344445
6-Jun-17,2.91,2.94,2.87,2.89,74584
5-Jun-17,2.90,2.94,2.85,2.89,67796
2-Jun-17,2.73,2.82,2.72,2.82,50962
1-Jun-17,2.75,2.80,2.71,2.72,53882
31-May-17,2.82,2.87,2.75,2.75,51295
30-May-17,2.86,2.87,2.81,2.83,24966
26-May-17,2.85,2.87,2.85,2.86,36992
25-May-17,2.85,2.86,2.80,2.82,49169
24-May-17,2.85,2.87,2.84,2.85,42930
23-May-17,2.87,2.90,2.86,2.86,21715
22-May-17,2.88,2.90,2.86,2.88,39333
19-May-17,2.89,2.91,2.85,2.90,40061
18-May-17,2.91,2.93,2.84,2.88,25839
17-May-17,2.88,2.93,2.86,2.89,54454
16-May-17,2.87,2.88,2.77,2.78,71178
15-May-17,2.87,2.89,2.85,2.87,64001
12-May-17,2.82,2.89,2.82,2.86,47903
11-May-17,2.77,2.84,2.75,2.82,68368
10-May-17,2.65,2.74,2.63,2.74,29949
9-May-17,2.66,2.70,2.61,2.65,48616
8-May-17,2.69,2.78,2.65,2.67,37284
5-May-17,2.63,2.76,2.60,2.64,49995
4-May-17,2.70,2.73,2.64,2.64,126168
3-May-17,2.75,2.75,2.70,2.73,41660
2-May-17,2.74,2.78,2.74,2.75,32943
1-May-17,2.80,2.80,2.69,2.75,106212
28-Apr-17,2.77,2.83,2.77,2.80,70377
27-Apr-17,2.85,2.87,2.80,2.80,59064
26-Apr-17,2.82,2.87,2.80,2.85,118982
25-Apr-17,2.82,2.82,2.77,2.79,90045
24-Apr-17,2.84,2.90,2.79,2.83,49987
21-Apr-17,2.83,2.84,2.80,2.81,54199
20-Apr-17,2.83,2.87,2.80,2.80,109868
19-Apr-17,2.88,2.89,2.80,2.82,118879
18-Apr-17,2.90,2.90,2.78,2.88,164275
17-Apr-17,2.87,2.93,2.85,2.87,35633
13-Apr-17,2.92,3.00,2.87,2.87,79436
12-Apr-17,2.86,2.90,2.84,2.89,78588
11-Apr-17,2.90,2.90,2.82,2.83,116492
10-Apr-17,2.93,2.93,2.86,2.87,65763
7-Apr-17,2.95,2.98,2.92,2.93,57645
6-Apr-17,2.94,2.96,2.87,2.93,34826
5-Apr-17,2.94,3.04,2.85,2.93,107248
4-Apr-17,2.87,2.95,2.81,2.93,188772
3-Apr-17,2.85,2.89,2.80,2.85,93997
31-Mar-17,2.85,2.89,2.81,2.84,64857
30-Mar-17,2.84,2.89,2.79,2.85,92496
29-Mar-17,2.81,2.89,2.80,2.83,51859
28-Mar-17,2.87,2.87,2.80,2.81,98263
27-Mar-17,2.93,2.93,2.86,2.89,148999
24-Mar-17,2.92,2.92,2.85,2.89,164765
23-Mar-17,2.99,2.99,2.90,2.92,87404
22-Mar-17,3.00,3.01,2.95,2.96,71841
21-Mar-17,2.98,3.02,2.95,2.99,147781
20-Mar-17,2.99,3.00,2.90,2.99,58266
17-Mar-17,2.99,3.00,2.90,2.98,85370
16-Mar-17,3.00,3.04,2.91,2.98,78393
15-Mar-17,2.96,3.00,2.91,2.98,78132
14-Mar-17,3.00,3.04,2.90,2.96,77640
13-Mar-17,2.93,3.05,2.83,3.00,195250
10-Mar-17,2.88,2.97,2.78,2.92,184997
9-Mar-17,2.89,2.92,2.88,2.88,95384
8-Mar-17,2.89,3.07,2.86,2.88,128366
