Date,Open,High,Low,Close,Volume
20-Jul-17,8.50,8.52,8.37,8.38,6728627
19-Jul-17,8.43,8.46,8.33,8.41,6134699
18-Jul-17,8.35,8.47,8.33,8.45,8679952
17-Jul-17,8.59,8.59,8.24,8.39,15753073
14-Jul-17,8.20,8.90,8.12,8.55,42012884
13-Jul-17,8.25,8.30,8.15,8.20,7370870
12-Jul-17,8.16,8.28,8.15,8.23,9088381
11-Jul-17,8.23,8.24,8.12,8.14,10571637
10-Jul-17,8.13,8.27,8.11,8.23,7732598
7-Jul-17,8.04,8.17,8.04,8.13,6004258
6-Jul-17,8.25,8.25,8.02,8.04,10106300
5-Jul-17,8.19,8.32,8.12,8.23,10366703
3-Jul-17,8.20,8.23,8.13,8.15,5018250
30-Jun-17,8.17,8.28,8.06,8.21,9677927
29-Jun-17,8.25,8.34,8.06,8.15,12150428
28-Jun-17,8.20,8.32,8.10,8.28,14355250
27-Jun-17,8.15,8.50,8.13,8.18,43087436
26-Jun-17,8.07,8.16,7.95,8.01,8501708
23-Jun-17,8.12,8.16,8.03,8.05,19851757
22-Jun-17,8.22,8.23,8.01,8.07,11942040
21-Jun-17,8.16,8.35,8.06,8.21,16029382
20-Jun-17,7.93,8.34,7.75,8.14,33865935
19-Jun-17,7.81,7.98,7.81,7.93,8567409
16-Jun-17,8.05,8.06,7.75,7.80,20694837
15-Jun-17,8.06,8.09,7.98,8.06,10872552
14-Jun-17,8.27,8.31,8.08,8.14,9692585
13-Jun-17,8.24,8.32,8.22,8.26,12389565
12-Jun-17,8.08,8.27,7.99,8.21,18713637
9-Jun-17,8.56,8.57,8.03,8.12,16933560
8-Jun-17,8.64,8.71,8.52,8.60,12676400
7-Jun-17,8.79,8.89,8.63,8.64,16128621
6-Jun-17,8.88,8.97,8.70,8.78,12176550
5-Jun-17,8.85,8.98,8.77,8.96,15514694
2-Jun-17,8.60,9.02,8.58,8.87,19050969
1-Jun-17,8.55,8.62,8.49,8.55,11937891
31-May-17,8.49,8.53,8.40,8.49,12556415
30-May-17,8.40,8.49,8.36,8.44,8558457
26-May-17,8.36,8.44,8.30,8.40,6651970
25-May-17,8.22,8.47,8.18,8.33,16867031
24-May-17,8.20,8.22,8.11,8.17,9825889
23-May-17,8.14,8.25,8.07,8.18,19271771
22-May-17,8.06,8.21,7.96,8.17,18531324
19-May-17,8.00,8.20,8.00,8.07,24020359
18-May-17,7.34,7.95,7.32,7.89,33105703
17-May-17,7.87,8.00,7.32,7.34,27289617
16-May-17,7.90,7.96,7.83,7.94,15065162
15-May-17,7.95,7.99,7.77,7.88,23399005
12-May-17,8.11,8.13,7.83,7.95,25178935
11-May-17,7.90,8.02,7.75,7.87,17382580
10-May-17,8.00,8.12,7.85,7.88,15156660
9-May-17,7.78,7.92,7.67,7.90,18550090
8-May-17,8.12,8.16,7.70,7.76,21820558
5-May-17,7.99,8.09,7.83,8.04,18763931
4-May-17,7.85,8.09,7.75,7.94,29849664
3-May-17,8.95,8.95,7.67,7.77,54312340
2-May-17,9.15,9.17,8.97,9.07,16468871
1-May-17,9.05,9.22,9.00,9.11,12805948
28-Apr-17,9.05,9.08,8.98,9.03,11256495
27-Apr-17,8.91,9.08,8.88,9.03,11668123
26-Apr-17,8.95,8.99,8.89,8.91,10103545
25-Apr-17,8.80,8.99,8.79,8.95,20981331
24-Apr-17,8.65,8.78,8.61,8.71,15264196
21-Apr-17,8.59,8.60,8.42,8.50,7930161
20-Apr-17,8.54,8.62,8.47,8.58,7999217
19-Apr-17,8.52,8.60,8.47,8.57,7965447
18-Apr-17,8.37,8.55,8.32,8.50,9248755
17-Apr-17,8.28,8.42,8.26,8.40,6700465
13-Apr-17,8.33,8.37,8.25,8.28,5168189
12-Apr-17,8.30,8.39,8.24,8.34,5513711
11-Apr-17,8.36,8.43,8.21,8.32,10673517
10-Apr-17,8.61,8.63,8.32,8.36,13189416
7-Apr-17,8.34,8.52,8.33,8.37,8641800
6-Apr-17,8.39,8.43,8.30,8.39,8700407
5-Apr-17,8.68,8.70,8.41,8.41,9901027
4-Apr-17,8.62,8.70,8.56,8.68,6913769
3-Apr-17,8.68,8.75,8.52,8.67,14806015
31-Mar-17,8.51,8.72,8.50,8.68,14784692
30-Mar-17,8.44,8.54,8.44,8.52,6130211
29-Mar-17,8.32,8.54,8.30,8.48,13434905
28-Mar-17,8.29,8.38,8.21,8.33,9820357
27-Mar-17,8.44,8.47,8.21,8.29,13895264
24-Mar-17,8.42,8.57,8.39,8.50,9354770
23-Mar-17,8.30,8.50,8.28,8.46,12366861
22-Mar-17,8.34,8.48,8.22,8.27,22257242
21-Mar-17,8.52,8.58,8.25,8.28,10884334
20-Mar-17,8.59,8.64,8.47,8.50,12479803
17-Mar-17,8.63,8.71,8.53,8.57,15440505
16-Mar-17,8.70,8.75,8.57,8.61,11585879
15-Mar-17,8.39,8.70,8.27,8.66,10310824
14-Mar-17,8.48,8.51,8.34,8.37,10545748
13-Mar-17,8.29,8.52,8.29,8.48,7994002
10-Mar-17,8.33,8.41,8.13,8.28,14354058
9-Mar-17,8.43,8.52,8.24,8.31,12829917
8-Mar-17,8.36,8.54,8.30,8.41,14606710
7-Mar-17,8.72,8.80,8.27,8.30,19573677
6-Mar-17,8.89,8.89,8.57,8.78,12733102
3-Mar-17,8.78,8.91,8.66,8.90,12307152
2-Mar-17,8.81,8.86,8.71,8.73,7350064
1-Mar-17,8.85,9.00,8.82,8.84,10031933
28-Feb-17,8.92,8.99,8.77,8.81,10957993
27-Feb-17,8.91,8.99,8.85,8.91,7686794
24-Feb-17,8.94,8.99,8.85,8.94,9891523
23-Feb-17,9.22,9.28,8.94,8.96,15918128
